id,model,noMesin,noRangka,noPolisi,deliveryDate
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB0K0209096,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB0K0209101,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB1K0209088,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB1K0209091,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB2K0209052,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB2K0209097,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB3K0209089,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB4K0209070,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB6K0209054,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB6K0209068,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB6K0209071,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB7K0209063,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB7K0209077,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB7K0209080,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB8K0209086,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB9K0209064,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB9K0209081,,2019-12-31
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BBXK0209090,,2019-12-31
679,AVANZA 1.3,-,MHKM5EB3JLK031058,,2020-11-23
679,AVANZA 1.5 G M/T,-,MHKM5FA3JKK007755,,2020-01-07
679,AVANZA 1.5 G M/T,-,MHKM5FA3JKK007760,,2020-01-07
679,INNOVA BENSIN G M/T,-,MHFJW8EM2K2373906,,2020-01-31
679,INNOVA BENSIN G M/T,-,MHFJW8EM3K2373641,,2020-01-31
679,INNOVA BENSIN G M/T,-,MHFJW8EM6K2373603,,2020-01-31
679,INNOVA BENSIN G M/T,-,MHFJW8EM3K2375437,,2020-01-31
680,AVANZA 1.3 VELOZ M/T,-,MHKM5EA4JLK035560,,2020-08-31
681,AVANZA 1.5,2NRF758493,MHKM5FA4JJK046099,,2018-11-29
682,INNOVA BENSIN,1TRA234225,MHFJW8EM0H2324471,,2017-01-13
683,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLK043719,,2020-02-18
684,AVANZA 1.3 G M/T,-,MHKM5EA3JKK161344,,2020-01-30
684,AVANZA 1.3 G M/T,-,MHKM5EA3JKK161511,,2020-01-30
685,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ009728,,2020-05-20
686,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JLK039968,,2020-01-20
687,AVANZA 1.3 G M/T,-,MHKM5EA3JLK167158,,2020-09-25
688,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD0K1122632,,2019-10-11
688,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD5K1122237,,2019-10-11
688,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD7K1122174,,2019-10-11
688,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD7K1122255,,2019-10-11
688,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD8K1122264,,2019-10-11
688,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD8K1209307,,2019-10-11
688,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CDXK1122640,,2019-10-11
688,INNOVA BENSIN G M/T,-,MHFJW8EM7K2373383,,2019-10-11
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB0K0208420,,2019-10-14
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB2K0208404,,2019-10-14
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB3K0208394,,2019-10-14
688,INNOVA BENSIN G M/T,-,MHFJW8EM0K2373483,,2019-10-14
688,INNOVA BENSIN G M/T,-,MHFJW8EM2K2374280,,2019-10-14
688,INNOVA BENSIN G M/T,-,MHFJW8EMXK2374124,,2019-10-14
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB1K0208801,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB2K0208807,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB3K0208833,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB4K0208839,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB8K0208794,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB8K0208813,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB9K0208819,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BBXK0208750,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB0K0208935,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB0K0209065,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB1K0208863,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB1K0208877,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB1K0208930,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB3K0208962,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB3K0209061,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB4K0209084,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB5K0208719,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB5K0208932,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB6K0209085,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB7K0208706,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB8K0208875,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB8K0209069,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB8K0209072,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB9K0209078,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BBXK0208859,,2019-12-31
688,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BBXK0209087,,2019-12-31
689,CALYA 1.2,3NRH094906,MHKA6GJ6JHJ034569,,2017-04-19
690,AGYA 1.2,-,MHKA4GA5JJJ020277,,2019-02-07
691,AVANZA 1.3,-,MHKM5EA3JLK172797,,2020-11-28
691,INNOVA BENSIN,-,MHFJW8EM3L2384916,,2020-12-11
692,AVANZA 1.3,1NRF239019,MHKM5EA3JHK053539,,2017-03-15
692,AVANZA ,-,MHKM5FA4JKK051186,,2019-04-18
693,AVANZA,-,MHKM5EA3JKK134383,,2019-03-27
694,AVANZA 1.3 G M/T,-,MHKM5EA3JLK166440,,2020-04-14
